16	73	1
16	150	2
16	367	1
17	125	1
17	136	1
34	357	2
34	367	1
73	124	1
73	150	1
73	357	1
73	390	2
73	431	1
75	146	1
75	330	1
75	358	1
75	361	1
78	112	2
78	136	1
78	150	1
78	154	1
78	188	2
78	195	2
78	202	1
78	241	1
78	265	1
78	294	1
78	330	1
78	350	1
78	351	1
78	357	7
78	358	1
78	367	3
78	390	1
78	403	2
112	350	1
112	358	1
112	390	1
113	195	1
113	208	1
113	216	1
113	277	1
113	357	1
113	385	1
117	287	1
117	329	1
117	357	2
123	124	1
123	265	2
123	357	2
124	265	1
124	353	1
124	357	1
124	390	1
125	136	1
125	150	1
125	444	1
131	201	1
131	202	1
131	357	2
131	374	1
131	444	1
133	361	1
138	146	1
146	330	1
146	358	1
150	188	1
150	444	1
152	265	1
152	350	1
152	374	1
154	241	1
154	265	1
154	277	1
154	293	1
154	357	1
154	358	1
155	357	1
155	374	1
170	193	1
170	201	1
170	288	2
188	367	1
193	201	1
193	288	1
193	294	1
193	357	1
195	357	2
201	202	1
201	288	1
201	444	1
202	288	1
202	357	2
202	444	1
208	216	1
208	370	1
208	385	1
216	355	2
216	357	1
216	385	1
217	287	1
217	325	1
217	329	1
217	357	1
241	277	1
241	358	2
241	367	1
265	357	3
277	358	1
282	293	1
282	357	1
282	385	1
282	444	1
287	329	2
287	357	2
293	357	2
303	357	1
303	374	1
325	357	1
329	357	2
330	358	1
349	355	1
349	370	1
355	357	3
357	374	1
357	390	3
357	403	1
357	417	1
357	444	3
358	367	1
358	390	1
390	395	1
